"","Uniprot_InteractorA","Uniprot_InteractorB","Confidence.value.s.","InteractorA","InteractorB"
"24949","uniprotkb:P39007","uniprotkb:P39007","intact-miscore:0.40","YGL022W","YGL022W"
"24950","uniprotkb:P41543","uniprotkb:P41543","intact-miscore:0.40","YJL002C","YJL002C"
"24951","uniprotkb:P41543","uniprotkb:P46964","intact-miscore:0.32","YJL002C","YOR103C"
"24952","uniprotkb:P41543","uniprotkb:P48439","intact-miscore:0.53","YJL002C","YOR085W"
"24953","uniprotkb:P41543","uniprotkb:Q99380","intact-miscore:0.60","YJL002C","YDL232W"
"24954","uniprotkb:P41543","uniprotkb:Q92316","intact-miscore:0.32","YJL002C","YGL226C-A"
"24955","uniprotkb:P41543","uniprotkb:Q03723","intact-miscore:0.53","YJL002C","YML019W"
"24956","uniprotkb:P41543","uniprotkb:P33767","intact-miscore:0.53","YJL002C","YEL002C"
"24957","uniprotkb:P41543","uniprotkb:Q02795","intact-miscore:0.65","YJL002C","YMR149W"
"24958","uniprotkb:P41543","uniprotkb:P39007","intact-miscore:0.65","YJL002C","YGL022W"
"24959","uniprotkb:P46964","uniprotkb:P46964","intact-miscore:0.40","YOR103C","YOR103C"
"24960","uniprotkb:Q99380","uniprotkb:Q99380","intact-miscore:0.40","YDL232W","YDL232W"
"24961","uniprotkb:Q05498","uniprotkb:P47083","intact-miscore:0.40","YDR339C","YJR002W"
"24962","uniprotkb:Q12339","uniprotkb:P47083","intact-miscore:0.40","YOR004W","YJR002W"
"24963","uniprotkb:P53276","uniprotkb:P47083","intact-miscore:0.70","YGR128C","YJR002W"
"24964","uniprotkb:P40020","uniprotkb:Q12038","intact-miscore:0.53","YER032W","YPR032W"
"24965","uniprotkb:P15992","uniprotkb:P15992","intact-miscore:0.55","YBR072W","YBR072W"
"24966","uniprotkb:P07560","uniprotkb:Q08484","intact-miscore:0.44","YFL005W","YOR070C"
"24967","uniprotkb:P32939","uniprotkb:P48365","intact-miscore:0.44","YML001W","YDL234C"
"24968","uniprotkb:P01123","uniprotkb:Q08484","intact-miscore:0.44","YFL038C","YOR070C"
"24969","uniprotkb:Q06163","uniprotkb:P17214","intact-miscore:0.68","YLR318W","YLR233C"
"24970","uniprotkb:Q03096","uniprotkb:Q06163","intact-miscore:0.50","YIL009C-A","YLR318W"
"24971","uniprotkb:P40016","uniprotkb:O94742","intact-miscore:0.61","YER021W","YDR363W-A"
"24972","uniprotkb:O94742","uniprotkb:Q06103","intact-miscore:0.77","YDR363W-A","YPR108W"
"24973","uniprotkb:Q12250","uniprotkb:Q12377","intact-miscore:0.91","YDL147W","YDL097C"
"24974","uniprotkb:Q12250","uniprotkb:Q08723","intact-miscore:0.90","YDL147W","YOR261C"
"24975","uniprotkb:Q12250","uniprotkb:Q04062","intact-miscore:0.90","YDL147W","YDR427W"
"24976","uniprotkb:P40016","uniprotkb:Q12250","intact-miscore:0.74","YER021W","YDL147W"
"24977","uniprotkb:P40016","uniprotkb:Q08723","intact-miscore:0.70","YER021W","YOR261C"
"24978","uniprotkb:P40016","uniprotkb:Q04062","intact-miscore:0.69","YER021W","YDR427W"
"24979","uniprotkb:P43588","uniprotkb:P40016","intact-miscore:0.76","YFR004W","YER021W"
"24980","uniprotkb:P43588","uniprotkb:Q12250","intact-miscore:0.90","YFR004W","YDL147W"
"24981","uniprotkb:P43588","uniprotkb:Q06103","intact-miscore:0.78","YFR004W","YPR108W"
"24982","uniprotkb:P43588","uniprotkb:Q04062","intact-miscore:0.82","YFR004W","YDR427W"
"24983","uniprotkb:P27692","uniprotkb:P10964","intact-miscore:0.40","YML010W","YOR341W"
"24984","uniprotkb:P10964","uniprotkb:P36070","intact-miscore:0.40","YOR341W","YKL125W"
"24985","uniprotkb:P05986","uniprotkb:P39717","intact-miscore:0.40","YKL166C","YAL056W"
"24986","uniprotkb:P08678","uniprotkb:P10823","intact-miscore:0.50","YJL005W","YER020W"
"24987","uniprotkb:P39717","uniprotkb:P10823","intact-miscore:0.50","YAL056W","YER020W"
"24988","uniprotkb:P06244","uniprotkb:P39717","intact-miscore:0.40","YJL164C","YAL056W"
"24989","uniprotkb:P06245","uniprotkb:P39717","intact-miscore:0.40","YPL203W","YAL056W"
"24990","uniprotkb:P07278","uniprotkb:P06244","intact-miscore:0.86","YIL033C","YJL164C"
"24991","uniprotkb:P52868","uniprotkb:Q06411","intact-miscore:0.84","YGL128C","YLR424W"
"24992","uniprotkb:P34162","uniprotkb:P32585","intact-miscore:0.90","YHR041C","YGR104C"
"24993","uniprotkb:P13393","uniprotkb:P38304","intact-miscore:0.52","YER148W","YBR193C"
