protein_id_ensemble,gene_id_ensemble,gene_symbol,QTL_type,percent_variance,p_val,significant_eQTL,Significant_eQTL_rep,Significant_pQTL
ENSMUSP00000090259,ENSMUSG00000069668,Sult3a1,DISTANT,17.71,0.027,1,0,0
ENSMUSP00000014686,ENSMUSG00000014542,Clec4f,DISTANT,17.41,0.036,1,0,0
ENSMUSP00000026269,ENSMUSG00000025239,Limd1,LOCAL,27.16,0,1,1,0
ENSMUSP00000026891,ENSMUSG00000025785,Exosc7,LOCAL,60.37,0,1,1,0
ENSMUSP00000053900,ENSMUSG00000043207,Zmpste24,DISTANT,18.28,0.017,1,0,0
ENSMUSP00000126284,ENSMUSG00000031585,Gtf2e2,DISTANT,16.84,0.056,1,0,0
ENSMUSP00000075011,ENSMUSG00000031974,Abcb10,DISTANT,17.5,0.033,1,0,0
ENSMUSP00000081764,ENSMUSG00000025241,Fyco1,LOCAL,28.14,0,1,1,1
ENSMUSP00000093581,ENSMUSG00000061759,1700052N19Rik,LOCAL,34.23,0,1,1,1
ENSMUSP00000112870,ENSMUSG00000040675,Mthfd1l,LOCAL,23.08,0,1,1,1
ENSMUSP00000043355,ENSMUSG00000019763,Rmnd1,LOCAL,55.38,0,1,1,1
ENSMUSP00000035829,ENSMUSG00000038587,Akap12,LOCAL,30.89,0,1,1,0
ENSMUSP00000015901,ENSMUSG00000015757,Ppil4,LOCAL,33.33,0,1,1,0
ENSMUSP00000030560,ENSMUSG00000028776,Tinagl1,DISTANT,16.23,0.093,1,0,0
ENSMUSP00000027271,ENSMUSG00000026102,Inpp1,DISTANT,18.43,0.015,1,0,0
ENSMUSP00000019974,ENSMUSG00000019832,Rab32,LOCAL,60.1,0,1,1,0
ENSMUSP00000044535,ENSMUSG00000019790,Stxbp5,LOCAL,18.4,0.015,1,0,0
ENSMUSP00000066050,ENSMUSG00000055493,Epm2a,LOCAL,36.63,0,1,1,1
ENSMUSP00000047797,ENSMUSG00000041781,Cpsf2,DISTANT,17.77,0.025,1,0,0
ENSMUSP00000021649,ENSMUSG00000021226,Acot2,DISTANT,17.47,0.034,1,0,0
ENSMUSP00000127498,ENSMUSG00000024942,Capn1,DISTANT,17.33,0.039,1,0,0
ENSMUSP00000119829,ENSMUSG00000019868,Vta1,LOCAL,58.46,0,1,1,1
ENSMUSP00000099541,ENSMUSG00000058546,Rpl23a,DISTANT,22.39,0,1,1,0
ENSMUSP00000020182,ENSMUSG00000020003,Pex7,LOCAL,58,0,1,1,0
ENSMUSP00000111963,ENSMUSG00000019996,Map7,LOCAL,42.64,0,1,1,1
ENSMUSP00000038878,ENSMUSG00000037542,Aldh8a1,LOCAL,28.98,0,1,1,1
ENSMUSP00000020153,ENSMUSG00000019977,Hbs1l,LOCAL,16.7,0.063,1,1,1
ENSMUSP00000055122,ENSMUSG00000019978,Epb4.1l2,LOCAL,18.43,0.015,1,0,0
ENSMUSP00000040599,ENSMUSG00000037440,Vnn1,LOCAL,27.16,0,1,1,0
ENSMUSP00000020190,ENSMUSG00000020010,Vnn3,LOCAL,66.98,0,1,1,1
ENSMUSP00000083973,ENSMUSG00000067038,Rps12-ps3,DISTANT,67.69,0,1,1,0
ENSMUSP00000093460,ENSMUSG00000020000,Moxd1,LOCAL,22.98,0,1,1,0
ENSMUSP00000101159,ENSMUSG00000037370,Enpp1,LOCAL,46.87,0,1,1,1
ENSMUSP00000020169,ENSMUSG00000019989,Enpp3,LOCAL,21,0.001,1,1,0
ENSMUSP00000044834,ENSMUSG00000039031,Arhgap18,LOCAL,36.73,0,1,1,1
ENSMUSP00000125553,ENSMUSG00000019883,Echdc1,LOCAL,41.99,0,1,1,1
ENSMUSP00000033241,ENSMUSG00000030946,Lhpp,DISTANT,21.22,0.001,1,1,0
ENSMUSP00000081544,ENSMUSG00000030934,Oat,DISTANT,18.4,0.015,1,0,0
ENSMUSP00000024596,ENSMUSG00000023829,Slc22a1,DISTANT,17.78,0.025,1,0,0
ENSMUSP00000079100,ENSMUSG00000005089,Slc1a2,DISTANT,21.57,0.001,1,0,0
ENSMUSP00000125552,ENSMUSG00000019791,Hint3,LOCAL,60.7,0,1,1,1
ENSMUSP00000024944,ENSMUSG00000024131,Slc3a1,DISTANT,16.63,0.067,1,0,0
ENSMUSP00000083375,ENSMUSG00000026473,Glul,DISTANT,30.87,0,1,1,1
ENSMUSP00000074436,ENSMUSG00000031722,Hp,DISTANT,16.21,0.094,1,0,0
ENSMUSP00000050398,ENSMUSG00000089917,Uckl1,DISTANT,16.29,0.088,1,0,0
ENSMUSP00000034860,ENSMUSG00000032310,Cyp1a2,DISTANT,17.75,0.026,1,0,0
ENSMUSP00000127159,ENSMUSG00000090298,Gm4794,LOCAL,52.86,0,1,1,1
ENSMUSP00000090259,ENSMUSG00000069668,Sult3a1,LOCAL,46.57,0,1,1,1
ENSMUSP00000029575,ENSMUSG00000027963,Extl2,DISTANT,16.37,0.083,1,0,0
ENSMUSP00000044305,ENSMUSG00000038446,Cdc40,LOCAL,25.49,0,1,1,0
ENSMUSP00000090227,ENSMUSG00000019838,Slc16a10,LOCAL,26.96,0,1,1,1
ENSMUSP00000110595,ENSMUSG00000036932,Aifm1,DISTANT,16.55,0.073,1,0,0
ENSMUSP00000025166,ENSMUSG00000024304,Cdh2,DISTANT,16.4,0.081,1,0,0
ENSMUSP00000019992,ENSMUSG00000019846,Lama4,LOCAL,56.08,0,1,1,0
ENSMUSP00000027103,ENSMUSG00000025962,Fastkd2,DISTANT,17.78,0.025,1,0,0
ENSMUSP00000019986,ENSMUSG00000019841,Rev3l,LOCAL,18.62,0.012,1,1,0
ENSMUSP00000136357,ENSMUSG00000096010,Hist4h4,DISTANT,18.45,0.014,1,1,0
ENSMUSP00000097547,ENSMUSG00000019843,Fyn,LOCAL,18.15,0.019,1,0,0
ENSMUSP00000019977,ENSMUSG00000063428,Ddo,LOCAL,30.09,0,1,1,1
ENSMUSP00000035456,ENSMUSG00000038510,Rpf2,LOCAL,47.83,0,1,1,0
ENSMUSP00000039598,ENSMUSG00000038417,Fig4,LOCAL,34.11,0,1,1,0
ENSMUSP00000036149,ENSMUSG00000038302,Lace1,LOCAL,69.75,0,1,1,1
ENSMUSP00000019937,ENSMUSG00000019802,Sec63,LOCAL,21.96,0,1,0,0
ENSMUSP00000093393,ENSMUSG00000038240,Pdss2,LOCAL,63.6,0,1,1,0
ENSMUSP00000020999,ENSMUSG00000020668,Kif3c,DISTANT,19.62,0.004,1,0,0
ENSMUSP00000060940,ENSMUSG00000019864,Rtn4ip1,LOCAL,45.42,0,1,1,0
ENSMUSP00000020017,ENSMUSG00000019866,Aim1,LOCAL,46.44,0,1,1,1
ENSMUSP00000019932,ENSMUSG00000019797,1700021F05Rik,LOCAL,19.79,0.004,1,1,1
ENSMUSP00000035486,ENSMUSG00000034108,Ccs,DISTANT,16.16,0.096,1,0,0
ENSMUSP00000097444,ENSMUSG00000019849,Prep,LOCAL,52.55,0,1,1,1
ENSMUSP00000066359,ENSMUSG00000022378,Fam49b,DISTANT,16.93,0.052,1,0,0
ENSMUSP00000055267,ENSMUSG00000045314,Sowahb,DISTANT,19.88,0.003,1,0,0
ENSMUSP00000020027,ENSMUSG00000019877,Serinc1,LOCAL,37.45,0,1,1,0
ENSMUSP00000020022,ENSMUSG00000019872,Smpdl3a,LOCAL,29.72,0,1,1,1
ENSMUSP00000020078,ENSMUSG00000019920,Lims1,LOCAL,17.43,0.035,1,1,0
ENSMUSP00000139070,ENSMUSG00000093752,Gm20716,DISTANT,16.49,0.076,1,0,0
ENSMUSP00000020284,ENSMUSG00000020087,Tysnd1,LOCAL,22.86,0,1,1,1
ENSMUSP00000129023,ENSMUSG00000019917,10-Sep,LOCAL,16.89,0.054,1,1,0
ENSMUSP00000126597,ENSMUSG00000020111,Micu1,LOCAL,25.8,0,1,1,0
ENSMUSP00000052351,ENSMUSG00000044475,Ascc1,LOCAL,32.57,0,1,1,1
ENSMUSP00000048443,ENSMUSG00000034709,Ppp1r21,DISTANT,17.18,0.043,1,0,0
ENSMUSP00000048042,ENSMUSG00000037151,Lrrc20,LOCAL,46.11,0,1,1,1
ENSMUSP00000090155,ENSMUSG00000020097,Sgpl1,LOCAL,28.67,0,1,1,1
ENSMUSP00000101095,ENSMUSG00000020085,Aifm2,LOCAL,22.06,0,1,1,1
ENSMUSP00000020289,ENSMUSG00000020092,Pald1,LOCAL,70.59,0,1,1,1
ENSMUSP00000001419,ENSMUSG00000001383,Zmat2,DISTANT,16.15,0.097,1,0,0
ENSMUSP00000020285,ENSMUSG00000020088,Sar1a,LOCAL,29.42,0,1,0,0
ENSMUSP00000115865,ENSMUSG00000020083,2010107G23Rik,LOCAL,21.69,0.001,1,1,0
ENSMUSP00000020258,ENSMUSG00000020064,Herc4,LOCAL,20.36,0.002,1,1,0
ENSMUSP00000043370,ENSMUSG00000071253,Slc25a16,LOCAL,26.51,0,1,1,0
ENSMUSP00000116577,ENSMUSG00000020109,Dnajb12,LOCAL,19.66,0.004,1,0,0
ENSMUSP00000020262,ENSMUSG00000020068,Pbld2,LOCAL,33.54,0,1,1,1
ENSMUSP00000020023,ENSMUSG00000019873,Reep3,LOCAL,32.45,0,1,1,0
ENSMUSP00000100075,ENSMUSG00000042228,Lyn,DISTANT,16.42,0.081,1,0,0
ENSMUSP00000099939,ENSMUSG00000001891,Ugp2,DISTANT,18.7,0.011,1,0,0
ENSMUSP00000135703,ENSMUSG00000010175,Prox1,DISTANT,17.2,0.043,1,0,0
ENSMUSP00000068677,ENSMUSG00000055538,Zcchc24,DISTANT,21.93,0,1,0,0
ENSMUSP00000138326,ENSMUSG00000069601,Ank3,LOCAL,52.45,0,1,1,0
ENSMUSP00000123374,ENSMUSG00000048701,Ccdc6,LOCAL,18.8,0.009,1,1,0
ENSMUSP00000126377,ENSMUSG00000009681,Bcr,LOCAL,19.25,0.005,1,1,1
ENSMUSP00000008537,ENSMUSG00000008393,Carhsp1,DISTANT,18.87,0.009,1,0,0
ENSMUSP00000020081,ENSMUSG00000019923,Zwint,LOCAL,60.32,0,1,1,0
ENSMUSP00000090086,ENSMUSG00000003923,Tfam,LOCAL,31.05,0,1,1,0
ENSMUSP00000001713,ENSMUSG00000001663,Gstt1,LOCAL,72.35,0,1,1,1
ENSMUSP00000093197,ENSMUSG00000006342,Susd2,LOCAL,48.57,0,1,1,0
ENSMUSP00000046324,ENSMUSG00000033318,Gstt2,LOCAL,26.75,0,1,1,1
ENSMUSP00000049342,ENSMUSG00000033427,Upb1,LOCAL,32.93,0,1,1,1
ENSMUSP00000001183,ENSMUSG00000001155,Ftcd,LOCAL,39.06,0,1,1,1
ENSMUSP00000026013,ENSMUSG00000025037,Maoa,DISTANT,16.49,0.076,1,0,0
ENSMUSP00000000925,ENSMUSG00000000902,Smarcb1,LOCAL,22.76,0,1,1,0
ENSMUSP00000001181,ENSMUSG00000020241,Col6a2,LOCAL,29.4,0,1,1,0
ENSMUSP00000101053,ENSMUSG00000020241,Col6a2,LOCAL,29.4,0,1,1,0
ENSMUSP00000009435,ENSMUSG00000009291,Pttg1ip,LOCAL,29.79,0,1,1,0
ENSMUSP00000001716,ENSMUSG00000001666,Ddt,LOCAL,23.74,0,1,1,1
ENSMUSP00000020522,ENSMUSG00000020277,Pfkl,LOCAL,56.38,0,1,1,1
ENSMUSP00000045812,ENSMUSG00000032834,Pwp2,LOCAL,35.77,0,1,1,0
ENSMUSP00000005185,ENSMUSG00000005054,Cstb,LOCAL,33.63,0,1,1,1
ENSMUSP00000124155,ENSMUSG00000034902,Pip5k1c,LOCAL,31.18,0,1,1,0
ENSMUSP00000101023,ENSMUSG00000032763,Ilvbl,LOCAL,47.81,0,1,1,1
ENSMUSP00000020580,ENSMUSG00000020329,Polrmt,LOCAL,16.73,0.062,1,0,0
ENSMUSP00000069004,ENSMUSG00000063457,Rps15,LOCAL,30.07,0,1,1,0
ENSMUSP00000041049,ENSMUSG00000035754,Wdr18,LOCAL,34.02,0,1,1,0
ENSMUSP00000072521,ENSMUSG00000064317,Gm10146,LOCAL,57.26,0,1,1,0
ENSMUSP00000040198,ENSMUSG00000046329,Slc25a23,DISTANT,18.54,0.013,1,0,0
ENSMUSP00000020341,ENSMUSG00000020133,2310011J03Rik,LOCAL,28.73,0,1,1,0
ENSMUSP00000020440,ENSMUSG00000020219,Timm13,LOCAL,25.54,0,1,0,0
ENSMUSP00000078808,ENSMUSG00000078441,Scamp4,LOCAL,18.2,0.018,1,1,0
ENSMUSP00000009340,ENSMUSG00000026536,Mnda,DISTANT,16.22,0.093,1,0,0
ENSMUSP00000039322,ENSMUSG00000034560,A230046K03Rik,LOCAL,33.82,0,1,1,1
ENSMUSP00000122403,ENSMUSG00000020248,Nfyb,LOCAL,46.54,0,1,1,0
ENSMUSP00000020484,ENSMUSG00000020250,Txnrd1,LOCAL,37.11,0,1,1,1
ENSMUSP00000101006,ENSMUSG00000003072,Atp5d,LOCAL,17.57,0.031,1,1,0
ENSMUSP00000076418,ENSMUSG00000034453,Polr3b,LOCAL,22.44,0,1,1,0
ENSMUSP00000020500,ENSMUSG00000020263,Appl2,LOCAL,31.09,0,1,1,1
ENSMUSP00000062762,ENSMUSG00000049038,Mterfd3,LOCAL,31.9,0,1,1,1
ENSMUSP00000001836,ENSMUSG00000001785,Pwp1,LOCAL,16.76,0.06,1,0,1
ENSMUSP00000093030,ENSMUSG00000060935,AI597468,LOCAL,22.33,0,1,1,1
ENSMUSP00000048309,ENSMUSG00000035459,Stab2,LOCAL,40.12,0,1,1,1
ENSMUSP00000020248,ENSMUSG00000020056,Ccdc53,LOCAL,19.56,0.005,1,0,0
ENSMUSP00000096994,ENSMUSG00000054027,Nt5dc3,LOCAL,17.71,0.027,1,1,0
ENSMUSP00000133992,ENSMUSG00000069539,Scyl2,LOCAL,26.26,0,1,0,1
ENSMUSP00000053092,ENSMUSG00000047638,Nr1h4,LOCAL,19.04,0.007,1,0,1
ENSMUSP00000072092,ENSMUSG00000019961,Tmpo,LOCAL,17.92,0.023,1,0,0
ENSMUSP00000020123,ENSMUSG00000019961,Tmpo,LOCAL,17.92,0.023,1,0,0
ENSMUSP00000075987,ENSMUSG00000061904,Slc25a3,LOCAL,17.92,0.023,1,0,1
ENSMUSP00000062843,ENSMUSG00000048170,Mcmbp,DISTANT,17.13,0.045,1,0,0
ENSMUSP00000020163,ENSMUSG00000019988,Nedd1,LOCAL,23.27,0,1,1,1
ENSMUSP00000070355,ENSMUSG00000020015,Cdk17,LOCAL,20.37,0.002,1,1,0
ENSMUSP00000123336,ENSMUSG00000020017,Hal,LOCAL,20.14,0.002,1,1,1
ENSMUSP00000016034,ENSMUSG00000015890,Amdhd1,LOCAL,29.81,0,1,1,1
ENSMUSP00000016033,ENSMUSG00000015889,Lta4h,LOCAL,54.33,0,1,1,1
ENSMUSP00000048285,ENSMUSG00000036112,Metap2,LOCAL,16.85,0.055,1,0,1
ENSMUSP00000023019,ENSMUSG00000022386,Trmu,DISTANT,17.19,0.043,1,0,0
ENSMUSP00000113715,ENSMUSG00000036099,Vezt,LOCAL,50.77,0,1,1,0
ENSMUSP00000020209,ENSMUSG00000020022,Ndufa12,LOCAL,54.64,0,1,1,0
ENSMUSP00000093473,ENSMUSG00000021395,Spin1,DISTANT,18.07,0.021,1,0,0
ENSMUSP00000020208,ENSMUSG00000020021,Fgd6,LOCAL,27.9,0,1,1,1
ENSMUSP00000063264,ENSMUSG00000020023,Tmcc3,LOCAL,45.68,0,1,1,0
ENSMUSP00000050295,ENSMUSG00000045867,Cradd,LOCAL,39.48,0,1,1,1
ENSMUSP00000075226,ENSMUSG00000062981,Mrpl42,LOCAL,38.14,0,1,1,0
ENSMUSP00000113014,ENSMUSG00000022214,Dcaf11,DISTANT,16.68,0.064,1,0,0
ENSMUSP00000020217,ENSMUSG00000020029,Nudt4,LOCAL,16.97,0.05,1,0,0
ENSMUSP00000096932,ENSMUSG00000074781,Ube2n,LOCAL,18.52,0.013,1,1,1
ENSMUSP00000040877,ENSMUSG00000036446,Lum,LOCAL,46.49,0,1,1,0
ENSMUSP00000100924,ENSMUSG00000019929,Dcn,LOCAL,18.95,0.008,1,1,0
ENSMUSP00000056754,ENSMUSG00000063077,Kif1b,DISTANT,17.61,0.03,1,0,0
ENSMUSP00000020286,ENSMUSG00000020089,Ppa1,DISTANT,16.99,0.049,1,0,0
ENSMUSP00000125341,ENSMUSG00000021040,Slirp,DISTANT,17.16,0.044,1,0,0
ENSMUSP00000125315,ENSMUSG00000090035,Galnt4,LOCAL,27.51,0,1,1,1
ENSMUSP00000061470,ENSMUSG00000036676,Tmtc3,LOCAL,22.77,0,1,1,0
ENSMUSP00000128209,ENSMUSG00000035948,Acss3,LOCAL,48.34,0,1,1,1
ENSMUSP00000035078,ENSMUSG00000032497,Lrrfip2,DISTANT,16.12,0.099,1,0,0
ENSMUSP00000100912,ENSMUSG00000035864,Syt1,LOCAL,46.61,0,1,1,1
ENSMUSP00000020057,ENSMUSG00000019906,Lin7a,LOCAL,17.88,0.024,1,1,0
ENSMUSP00000020403,ENSMUSG00000020186,Csrp2,LOCAL,36.97,0,1,1,0
ENSMUSP00000132065,ENSMUSG00000062038,Gm10108,DISTANT,21.18,0.001,1,0,0
ENSMUSP00000043279,ENSMUSG00000035798,Zdhhc17,LOCAL,25.03,0,1,1,0
ENSMUSP00000100911,ENSMUSG00000020189,Osbpl8,LOCAL,28.51,0,1,1,0
ENSMUSP00000096882,ENSMUSG00000074748,Atxn7l3b,LOCAL,62.21,0,1,1,1
ENSMUSP00000049243,ENSMUSG00000034127,Tspan8,LOCAL,18.86,0.009,1,0,0
ENSMUSP00000089808,ENSMUSG00000069520,Tmem19,LOCAL,62.06,0,1,1,1
ENSMUSP00000068408,ENSMUSG00000055531,Cpsf6,LOCAL,19.64,0.004,1,0,0
ENSMUSP00000036288,ENSMUSG00000034024,Cct2,LOCAL,17.91,0.023,1,0,0
ENSMUSP00000020382,ENSMUSG00000020171,Yeats4,LOCAL,45.38,0,1,1,0
ENSMUSP00000020375,ENSMUSG00000064181,Rab3ip,LOCAL,45.16,0,1,1,1
ENSMUSP00000089801,ENSMUSG00000069516,Lyz2,LOCAL,24.2,0,1,1,0
ENSMUSP00000020444,ENSMUSG00000020224,Llph,LOCAL,46.11,0,1,1,0
ENSMUSP00000089781,ENSMUSG00000051236,Msrb3,LOCAL,44.79,0,1,1,0
ENSMUSP00000043167,ENSMUSG00000034707,Gns,LOCAL,21.16,0.001,1,0,0
ENSMUSP00000020316,ENSMUSG00000020115,Tbk1,LOCAL,26.77,0,1,1,0
ENSMUSP00000026902,ENSMUSG00000025795,Rassf3,LOCAL,31.07,0,1,1,0
ENSMUSP00000073462,ENSMUSG00000034602,Mon2,LOCAL,26.58,0,1,1,0
ENSMUSP00000061646,ENSMUSG00000043153,Ispd,DISTANT,18.32,0.016,1,0,0
ENSMUSP00000133523,ENSMUSG00000007739,Cct4,DISTANT,20.15,0.002,1,0,0
ENSMUSP00000057751,ENSMUSG00000006736,Tspan31,LOCAL,30.71,0,1,1,0
ENSMUSP00000006915,ENSMUSG00000006732,Mettl1,LOCAL,34.81,0,1,1,0
ENSMUSP00000128914,ENSMUSG00000040462,Os9,LOCAL,19.63,0.004,1,0,0
ENSMUSP00000013970,ENSMUSG00000025417,Pip4k2c,LOCAL,17.43,0.035,1,0,0
ENSMUSP00000071573,ENSMUSG00000069456,Rdh16,LOCAL,18.37,0.015,1,1,0
ENSMUSP00000006914,ENSMUSG00000006731,B4galnt1,LOCAL,62.12,0,1,1,1
ENSMUSP00000026470,ENSMUSG00000025403,Shmt2,LOCAL,24.62,0,1,1,1
ENSMUSP00000089708,ENSMUSG00000002147,Stat6,LOCAL,21.35,0.001,1,1,1
ENSMUSP00000057732,ENSMUSG00000056148,Rdh9,LOCAL,44.55,0,1,1,1
ENSMUSP00000026459,ENSMUSG00000025393,Atp5b,LOCAL,30.92,0,1,1,0
ENSMUSP00000026420,ENSMUSG00000025362,Rps26,LOCAL,34.57,0,1,1,0
ENSMUSP00000089691,ENSMUSG00000074639,BC089597,LOCAL,39.85,0,1,1,1
ENSMUSP00000089664,ENSMUSG00000040043,Rbms2,LOCAL,46.48,0,1,1,1
ENSMUSP00000059142,ENSMUSG00000051716,Apon,LOCAL,55.73,0,1,1,1
ENSMUSP00000050292,ENSMUSG00000071072,Ptges3,LOCAL,47.5,0,1,1,0
ENSMUSP00000005826,ENSMUSG00000005683,Cs,LOCAL,20.92,0.001,1,1,1
ENSMUSP00000026427,ENSMUSG00000025366,Esyt1,LOCAL,49.44,0,1,1,1
ENSMUSP00000054731,ENSMUSG00000051346,Spryd4,LOCAL,35.38,0,1,1,1
ENSMUSP00000100872,ENSMUSG00000040033,Stat2,LOCAL,21.33,0.001,1,1,1
ENSMUSP00000137244,ENSMUSG00000051255,Gm6563,DISTANT,41.83,0,1,1,0
ENSMUSP00000102771,ENSMUSG00000035623,Rsf1,DISTANT,17.03,0.048,1,0,0
ENSMUSP00000056195,ENSMUSG00000049858,Suox,LOCAL,18.51,0.014,1,0,0
ENSMUSP00000026398,ENSMUSG00000025347,Mettl7b,LOCAL,19.01,0.007,1,1,1
ENSMUSP00000002198,ENSMUSG00000002129,Sf3a1,LOCAL,18.91,0.008,1,0,0
ENSMUSP00000019512,ENSMUSG00000019368,Sec14l4,LOCAL,35.24,0,1,1,1
ENSMUSP00000091066,ENSMUSG00000009073,Nf2,LOCAL,17.05,0.047,1,1,0
ENSMUSP00000054856,ENSMUSG00000059534,Uqcr10,LOCAL,20.46,0.002,1,0,0
ENSMUSP00000067053,ENSMUSG00000020448,Rnf185,LOCAL,43.88,0,1,1,1
ENSMUSP00000063272,ENSMUSG00000020412,Ascc2,LOCAL,25.37,0,1,1,0
ENSMUSP00000049338,ENSMUSG00000034285,Nipsnap1,LOCAL,24.33,0,1,0,0
ENSMUSP00000004646,ENSMUSG00000004530,Coro1c,DISTANT,16.4,0.081,1,0,0
ENSMUSP00000009234,ENSMUSG00000009090,Ap1b1,LOCAL,52.58,0,1,1,0
ENSMUSP00000045580,ENSMUSG00000034274,Thoc5,LOCAL,27.25,0,1,1,0
ENSMUSP00000020768,ENSMUSG00000020475,Pgam2,LOCAL,19.31,0.005,1,1,0
ENSMUSP00000064668,ENSMUSG00000053838,Nudcd3,LOCAL,39.97,0,1,1,1
ENSMUSP00000134739,ENSMUSG00000053929,Cyhr1,DISTANT,17.49,0.033,1,0,0
ENSMUSP00000003681,ENSMUSG00000003585,Sec14l2,LOCAL,20.46,0.002,1,1,1
ENSMUSP00000112007,ENSMUSG00000025156,Gps1,DISTANT,17.42,0.035,1,0,0
ENSMUSP00000077909,ENSMUSG00000071177,Serpina1d,DISTANT,16.23,0.093,1,0,0
ENSMUSP00000020695,ENSMUSG00000020422,Tns3,LOCAL,24.65,0,1,1,1
ENSMUSP00000025515,ENSMUSG00000024614,Tmx3,DISTANT,20.68,0.001,1,0,0
ENSMUSP00000107726,ENSMUSG00000041740,Rnf10,DISTANT,16.51,0.075,1,0,0
ENSMUSP00000068525,ENSMUSG00000020182,Ddc,LOCAL,17.96,0.022,1,0,1
ENSMUSP00000105277,ENSMUSG00000020173,Cobl,LOCAL,44.58,0,1,1,1
ENSMUSP00000122150,ENSMUSG00000044629,Cnrip1,LOCAL,41.48,0,1,1,1
ENSMUSP00000020317,ENSMUSG00000020116,Pno1,LOCAL,17.08,0.046,1,0,0
ENSMUSP00000000137,ENSMUSG00000020152,Actr2,LOCAL,23.11,0,1,0,0
ENSMUSP00000117030,ENSMUSG00000021196,Pfkp,DISTANT,16.42,0.081,1,0,0
ENSMUSP00000055036,ENSMUSG00000039108,Lsm14b,DISTANT,16.15,0.097,1,0,0
ENSMUSP00000099938,ENSMUSG00000020321,Mdh1,LOCAL,35.52,0,1,1,1
ENSMUSP00000037489,ENSMUSG00000042302,Ehbp1,LOCAL,29.35,0,1,1,1
ENSMUSP00000124719,ENSMUSG00000051355,Commd1,LOCAL,20.32,0.002,1,0,0
ENSMUSP00000020529,ENSMUSG00000020288,Ahsa2,LOCAL,20.91,0.001,1,0,0
ENSMUSP00000020756,ENSMUSG00000020464,Pnpt1,LOCAL,21.9,0,1,1,0
ENSMUSP00000048099,ENSMUSG00000032673,Prorsd1,LOCAL,43.72,0,1,1,0
ENSMUSP00000020749,ENSMUSG00000020459,Mtif2,LOCAL,21.79,0.001,1,1,1
ENSMUSP00000072929,ENSMUSG00000020311,Erlec1,LOCAL,30.26,0,1,0,0
ENSMUSP00000074195,ENSMUSG00000060923,Acyp2,LOCAL,51.01,0,1,1,1
ENSMUSP00000098942,ENSMUSG00000020309,Chac2,LOCAL,34.98,0,1,1,1
ENSMUSP00000090897,ENSMUSG00000069919,Hba-a1,LOCAL,54.29,0,1,1,0
ENSMUSP00000107969,ENSMUSG00000055817,Mta3,DISTANT,19.07,0.007,1,0,0
ENSMUSP00000099885,ENSMUSG00000020272,Stk10,LOCAL,27.02,0,1,1,1
ENSMUSP00000018691,ENSMUSG00000018547,Pip4k2b,DISTANT,16.69,0.063,1,0,0
ENSMUSP00000027027,ENSMUSG00000025898,Cwf19l2,DISTANT,17.73,0.027,1,0,0
ENSMUSP00000116609,ENSMUSG00000020409,Slu7,LOCAL,17.19,0.043,1,0,0
ENSMUSP00000042875,ENSMUSG00000040760,Appl1,DISTANT,17.54,0.032,1,0,0
ENSMUSP00000018992,ENSMUSG00000018848,Rars,LOCAL,26.17,0,1,1,1
ENSMUSP00000018993,ENSMUSG00000018849,Wwc1,LOCAL,25.56,0,1,1,0
ENSMUSP00000020578,ENSMUSG00000020328,Nudcd2,LOCAL,26.8,0,1,1,0
ENSMUSP00000040779,ENSMUSG00000041278,Ttc1,LOCAL,26.72,0,1,1,1
ENSMUSP00000011398,ENSMUSG00000011254,Thg1l,LOCAL,20.03,0.003,1,1,1
ENSMUSP00000071616,ENSMUSG00000043716,Rpl7,DISTANT,49.1,0,1,1,0
ENSMUSP00000112304,ENSMUSG00000029910,Mad2l1,DISTANT,29.7,0,1,1,0
ENSMUSP00000104836,ENSMUSG00000040350,Trim7,LOCAL,24.4,0,1,1,0
ENSMUSP00000104848,ENSMUSG00000040413,Timd2,LOCAL,17.94,0.023,1,1,0
ENSMUSP00000026470,ENSMUSG00000025403,Shmt2,DISTANT,16.18,0.095,1,0,0
ENSMUSP00000092049,ENSMUSG00000048852,Gm12185,LOCAL,66.81,0,1,1,1
ENSMUSP00000069914,ENSMUSG00000078922,Tgtp1,LOCAL,25.63,0,1,1,0
ENSMUSP00000050446,ENSMUSG00000046879,Irgm1,LOCAL,20.35,0.002,1,1,1
ENSMUSP00000104835,ENSMUSG00000058163,Gm5431,LOCAL,52.18,0,1,1,1
ENSMUSP00000080484,ENSMUSG00000020346,Mgat1,LOCAL,27.81,0,1,1,1
ENSMUSP00000090825,ENSMUSG00000036644,Tbc1d9b,LOCAL,33.44,0,1,1,1
ENSMUSP00000130527,ENSMUSG00000000131,Xpo6,DISTANT,16.28,0.088,1,0,0
ENSMUSP00000020637,ENSMUSG00000020368,Canx,LOCAL,24.31,0,1,0,1
ENSMUSP00000020643,ENSMUSG00000020375,Rufy1,LOCAL,34.63,0,1,1,1
ENSMUSP00000129273,ENSMUSG00000042787,Exog,DISTANT,16.25,0.092,1,0,0
ENSMUSP00000007921,ENSMUSG00000007777,0610009B22Rik,LOCAL,16.82,0.057,1,1,0
ENSMUSP00000104725,ENSMUSG00000036391,Sec24a,LOCAL,35.06,0,1,1,0
ENSMUSP00000020608,ENSMUSG00000020349,Ppp2ca,LOCAL,18.13,0.02,1,1,0
ENSMUSP00000104685,ENSMUSG00000036275,9530068E07Rik,LOCAL,37.21,0,1,1,0
